# File generated by...
# program:      TSTool 10.00.01beta (2011-04-20)
# user:         sam
# date:         Mon May 09 11:47:31 MDT 2011
# host:         AMAZON
# directory:    C:\Develop\TSTool_SourceBuild\TSTool\doc\Training\02-intro-CDSS-Data\example3-HydroBase
# command line: TSTool -home test/operational/CDSS
# -----------------------------------------------------------------------
# Command file name: "C:\Develop\TSTool_SourceBuild\TSTool\doc\Training\02-intro-CDSS-Data\example3-HydroBase\SPlatteStreamflow.TSTool"
# Commands: 
# # Simple example to query HydroBase time series.
# # 06759500 - SOUTH PLATTE RIVER AT FORT MORGAN, CO.
# 06759500.USGS.Streamflow.Month~HydroBase
# # 06754000 - SOUTH PLATTE RIVER NEAR KERSEY, CO
# 06754000.DWR.Streamflow.Month~HydroBase
# # Write time series in two simple formats
# # Write a DateValue format file (columns with metadata in a header)
# WriteDateValue(OutputFile="SPlatteStreamflow.dv",Precision=1)
# # Convert time series to a table and then write the table (columns)
# TimeSeriesToTable(TableID="PlatteStreamflow",DateTimeColumn="Date",DataColumn="%L-%T",DataRow=1,IfTableNotFound="Create")
# WriteTableToDelimitedFile(TableID="PlatteStreamflow",OutputFile="SPlatteStreamflow.csv")
# 
# -----------------------------------------------------------------------------
# HydroBase database is: HydroBase on lonetree\CDSS
# HydroBase.db_version:  design version: 20080701  last data change: 20100801
# HydroBase table structure for software is at least 2007052520070525
# HydroBase input name is "".
# Stored procedures are being used.
# -----------------------------------------------------------------------------
# 
# Column headings are first line below, followed by data lines.
"Date","06759500-Streamflow","06754000-Streamflow"
1901-05,,85800.26
1901-06,,108435.96
1901-07,,19299.46
1901-08,,18188.70
1901-09,,23478.69
1901-10,,28044.71
1901-11,,31319.46
1901-12,,36901.04
1902-01,,36893.10
1902-02,,39983.39
1902-03,,29873.49
1902-04,,7033.49
1902-05,,5910.83
1902-06,,9415.67
1902-07,,7640.44
1902-08,,5216.60
1902-09,,21594.37
1902-10,,15290.80
1902-11,,19878.64
1902-12,,32725.77
1903-01,,32198.16
1903-02,,32174.35
1903-03,,56472.23
1903-04,,30803.76
1903-05,,13688.13
1903-06,,76116.81
1903-07,,11831.58
1903-08,,8443.76
1903-09,,7916.15
1903-10,,13103.00
1903-11,,23609.60
1903-12,,27255.27
1904-01,,
1904-02,,
1904-03,,
1904-04,,
1904-05,,
1904-06,,
1904-07,,
1904-08,,
1904-09,,
1904-10,,
1904-11,,
1904-12,,
1905-01,,
1905-02,,
1905-03,,13944.00
1905-04,,139737.58
1905-05,,387496.56
1905-06,,243038.25
1905-07,,9491.05
1905-08,,10472.88
1905-09,,9520.80
1905-10,,23534.23
1905-11,,31736.00
1905-12,,20866.42
1906-01,,24595.40
1906-02,,25920.38
1906-03,,35982.67
1906-04,,47683.34
1906-05,,73974.63
1906-06,,21386.10
1906-07,,21977.18
1906-08,,8652.03
1906-09,,28340.25
1906-10,,60649.48
1906-11,,85627.70
1906-12,,80549.94
1907-01,,53372.02
1907-02,,38821.06
1907-03,,34901.67
1907-04,,32709.90
1907-05,,109874.00
1907-06,,133515.33
1907-07,,109267.05
1907-08,,48548.14
1907-09,,22379.83
1907-10,,46675.72
1907-11,,45652.23
1907-12,,43496.17
1908-01,,34433.56
1908-02,,28760.75
1908-03,,21520.97
1908-04,,7539.28
1908-05,,10155.52
1908-06,,7646.39
1908-07,,7874.50
1908-08,,10855.70
1908-09,,7638.46
1908-10,,24520.03
1908-11,,25809.30
1908-12,,30375.32
1909-01,,27608.34
1909-02,,30990.20
1909-03,,50297.59
1909-04,,65534.84
1909-05,,54968.73
1909-06,,299181.22
1909-07,,140332.63
1909-08,,17236.62
1909-09,,126725.81
1909-10,,73829.84
1909-11,,57747.62
1909-12,,61417.09
1910-01,,62728.19
1910-02,,47675.41
1910-03,,59443.51
1910-04,,24922.68
1910-05,,14616.41
1910-06,,5789.84
1910-07,,6180.59
1910-08,,6541.58
1910-09,,6757.78
1910-10,,21893.87
1910-11,,25029.79
1910-12,,20602.62
1911-01,,28048.67
1911-02,,20618.48
1911-03,,18496.14
1911-04,,7281.43
1911-05,,5147.18
1911-06,,8844.43
1911-07,,11996.21
1911-08,,7557.14
1911-09,,6095.30
1911-10,,17867.37
1911-11,,25684.34
1911-12,,22348.09
1912-01,,23048.27
1912-02,,20148.39
1912-03,,25658.56
1912-04,,19999.63
1912-05,,37688.48
1912-06,,88838.98
1912-07,,155573.84
1912-08,,59943.36
1912-09,,33330.73
1912-10,,37551.62
1912-11,,47572.27
1912-12,,52453.66
1913-01,,
1913-02,,
1913-03,,
1913-04,,
1913-05,,
1913-06,,
1913-07,,
1913-08,,
1913-09,,
1913-10,,
1913-11,,
1913-12,,
1914-01,,83187.99
1914-02,,103360.19
1914-03,,88483.94
1914-04,,181133.22
1914-05,,492463.38
1914-06,,326256.00
1914-07,,48962.70
1914-08,,106394.94
1914-09,,33402.14
1914-10,,51392.48
1914-11,,50718.09
1914-12,,39927.86
1915-01,,37984.02
1915-02,,39124.54
1915-03,,41322.25
1915-04,,117950.81
1915-05,,213067.58
1915-06,,160693.25
1915-07,,25061.52
1915-08,,27380.23
1915-09,,23504.47
1915-10,,76037.47
1915-11,,57918.20
1915-12,,48466.82
1916-01,,40520.92
1916-02,,51424.22
1916-03,,39836.61
1916-04,,30772.02
1916-05,,30708.55
1916-06,,13918.22
1916-07,,7499.61
1916-08,,19739.79
1916-09,,11778.02
1916-10,,63940.11
1916-11,,47092.26
1916-12,,45320.99
1917-01,,38041.55
1917-02,,33285.11
1917-03,,39237.60
1917-04,,32075.18
1917-05,,241947.33
1917-06,,370755.81
1917-07,,80589.60
1917-08,,11040.16
1917-09,,15752.96
1917-10,,38955.94
1917-11,,36996.24
1917-12,,40251.16
1918-01,,35086.13
1918-02,,34437.53
1918-03,,29841.76
1918-04,,31664.59
1918-05,,18246.22
1918-06,,137587.47
1918-07,,104262.68
1918-08,,16909.34
1918-09,,37367.16
1918-10,,48867.49
1918-11,,47455.24
1918-12,,53171.68
1919-01,,56420.66
1919-02,,44192.38
1919-03,,33128.42
1919-04,,35385.64
1919-05,,26211.95
1919-06,,6771.67
1919-07,,8443.76
1919-08,,24827.47
1919-09,,14804.84
1919-10,,29169.35
1919-11,,40399.93
1919-12,,45993.40
1920-01,,32017.66
1920-02,,31006.07
1920-03,,23556.05
1920-04,,49815.60
1920-05,,149887.14
1920-06,,61367.51
1920-07,,19906.41
1920-08,,30002.42
1920-09,,19218.13
1920-10,,39015.45
1920-11,,47046.64
1920-12,,41443.25
1921-01,,31503.93
1921-02,,29579.94
1921-03,,21443.62
1921-04,,64612.51
1921-05,,103389.94
1921-06,,712695.38
1921-07,,52342.58
1921-08,,47397.71
1921-09,,19916.32
1921-10,,31420.62
1921-11,,37381.04
1921-12,,50561.40
1922-01,,37083.52
1922-02,,30736.32
1922-03,,36734.42
1922-04,,31626.91
1922-05,,9300.63
1922-06,,6333.32
1922-07,,7027.54
1922-08,,7959.79
1922-09,,6860.93
1922-10,,8975.34
1922-11,,20059.13
1922-12,,27334.61
1923-01,,29504.56
1923-02,,34290.75
1923-03,,39376.44
1923-04,,25573.27
1923-05,,27118.41
1923-06,,357254.13
1923-07,,89164.27
1923-08,,76642.44
1923-09,,37184.68
1923-10,,93722.36
1923-11,,135473.05
1923-12,,73810.00
1924-01,,75406.72
1924-02,,70505.49
1924-03,,77842.46
1924-04,,192518.52
1924-05,,185810.31
1924-06,,399147.63
1924-07,,14592.61
1924-08,,10611.72
1924-09,,21832.38
1924-10,,30633.17
1924-11,,29028.52
1924-12,,31613.02
1925-01,,31252.03
1925-02,,32967.75
1925-03,,25819.22
1925-04,,10625.61
1925-05,,4480.73
1925-06,,12426.63
1925-07,,9635.84
1925-08,,17401.25
1925-09,,9637.83
1925-10,,35560.19
1925-11,,42579.79
1925-12,,38110.97
1926-01,,31579.30
1926-02,,32384.61
1926-03,,27667.84
1926-04,,151886.52
1926-05,,181510.08
1926-06,,199004.56
1926-07,,66923.29
1926-08,,12141.00
1926-09,,12484.15
1926-10,,34510.92
1926-11,,40957.29
1926-12,,34534.72
1927-01,,36071.93
1927-02,,26791.13
1927-03,,30526.06
1927-04,,47385.82
1927-05,,27955.45
1927-06,,27376.27
1927-07,,25704.18
1927-08,,41595.98
1927-09,,16227.01
1927-10,,41663.42
1927-11,,30012.34
1927-12,,35125.80
1928-01,,37511.95
1928-02,,31539.63
1928-03,,32378.65
1928-04,,19269.70
1928-05,,135677.34
1928-06,,134673.70
1928-07,,56741.98
1928-08,,16798.26
1928-09,,13618.71
1928-10,,32483.78
1928-11,,43053.85
1928-12,,40159.93
1929-01,,34203.47
1929-02,,25121.03
1929-03,,44634.70
1929-04,,41298.45
1929-05,,20011.53
1929-06,,13436.23
1929-07,,10433.21
1929-08,,33461.64
1929-09,,50283.71
1929-10,,30077.79
1929-11,,50557.43
1929-12,,45414.21
1930-01,,34171.74
1930-02,,47191.43
1930-03,,33592.55
1930-04,,26527.33
1930-05,,11595.54
1930-06,,7578.95
1930-07,,6860.93
1930-08,,93829.47
1930-09,,25343.18
1930-10,,45378.51
1930-11,,34387.94
1930-12,,32975.69
1931-01,,28471.16
1931-02,,21159.98
1931-03,,28110.16
1931-04,,22968.93
1931-05,,31658.64
1931-06,,24401.02
1931-07,,7208.04
1931-08,,8235.49
1931-09,,8138.30
1931-10,,12642.83
1931-11,,24777.88
1931-12,,33376.36
1932-01,,29869.53
1932-02,,30775.99
1932-03,,25749.80
1932-04,,12916.55
1932-05,,5238.42
1932-06,,10427.26
1932-07,,12152.90
1932-08,,9875.85
1932-09,,7344.90
1932-10,,12063.65
1932-11,,22496.86
1932-12,,22528.59
1933-01,,24276.06
1933-02,,26928.00
1933-03,,17250.50
1933-04,,14009.46
1933-05,,136889.27
1933-06,,47699.21
1933-07,,14465.67
1933-08,,13934.09
1933-09,,39818.76
1933-10,,22554.38
1933-11,,29167.37
1933-12,,38628.66
1934-01,,35806.14
1934-02,,29427.21
1934-03,,22165.61
1934-04,,15616.10
1934-05,,9524.77
1934-06,,8578.64
1934-07,,6396.79
1934-08,,5323.71
1934-09,,4851.64
1934-10,,5044.04
1934-11,,5184.87
1934-12,,15417.75
1935-01,,12855.06
1935-02,,10119.82
1935-03,,10474.86
1935-04,,4875.44
1935-05,,53330.36
1935-06,,77535.02
1935-07,,8437.81
1935-08,,8737.32
1935-09,,26812.95
1935-10,,24012.25
1935-11,,30454.66
1935-12,,31271.86
1936-01,,28415.62
1936-02,,25386.82
1936-03,,22600.00
1936-04,,17559.93
1936-05,,14669.97
1936-06,,38832.96
1936-07,,8251.36
1936-08,,32182.29
1936-09,,12654.73
1936-10,,37634.93
1936-11,,35633.58
1936-12,,37327.49
1937-01,,29236.79
1937-02,,32410.39
1937-03,,29871.51
1937-04,,24825.49
1937-05,,6228.19
1937-06,,36173.09
1937-07,,11169.09
1937-08,,6983.90
1937-09,,8790.87
1937-10,,9395.84
1937-11,,20434.02
1937-12,,28667.53
1938-01,,27308.83
1938-02,,28836.12
1938-03,,22998.68
1938-04,,33721.48
1938-05,,107005.86
1938-06,,69545.48
1938-07,,19327.22
1938-08,,11676.86
1938-09,,164775.30
1938-10,,33697.68
1938-11,,51340.91
1938-12,,54526.41
1939-01,,49843.37
1939-02,,33201.80
1939-03,,100926.43
1939-04,,88781.46
1939-05,,21596.35
1939-06,,15987.01
1939-07,,5988.19
1939-08,,6674.48
1939-09,,6369.02
1939-10,,7376.64
1939-11,,11139.34
1939-12,,21223.45
1940-01,,23881.34
1940-02,,30186.89
1940-03,,35845.81
1940-04,,15745.02
1940-05,,4121.71
1940-06,,5637.11
1940-07,,9401.79
1940-08,,4171.30
1940-09,,12738.04
1940-10,,19620.78
1940-11,,22219.17
1940-12,,21241.30
1941-01,,27949.50
1941-02,,24615.23
1941-03,,17835.63
1941-04,,25743.85
1941-05,,48240.70
1941-06,,58271.26
1941-07,,17968.53
1941-08,,29026.54
1941-09,,15185.68
1941-10,,43109.39
1941-11,,41538.46
1941-12,,31849.06
1942-01,,32440.14
1942-02,,25708.14
1942-03,,83132.45
1942-04,,302916.16
1942-05,,553099.00
1942-06,,255573.97
1942-07,,31115.16
1942-08,,19404.58
1942-09,,14852.45
1942-10,,37188.64
1942-11,,45239.67
1942-12,,50222.22
1943-01,,44414.53
1943-02,,30700.61
1943-03,,35437.21
1943-04,,31974.02
1943-05,,86363.57
1943-06,,73371.65
1943-07,,16219.08
1943-08,,10215.03
1943-09,,10855.70
1943-10,9629.89,15883.87
1943-11,11210.74,17472.65
1943-12,12878.87,22116.03
1944-01,14574.76,28544.55
1944-02,12125.14,25765.67
1944-03,20931.88,29530.35
1944-04,48538.23,50071.47
1944-05,117956.77,167706.91
1944-06,24466.47,46092.57
1944-07,11456.70,25729.96
1944-08,9657.66,8850.38
1944-09,9473.20,9740.97
1944-10,7469.86,11377.36
1944-11,8987.24,21437.67
1944-12,11442.81,31017.97
1945-01,15737.09,31648.73
1945-02,14622.36,24272.09
1945-03,14769.14,26053.27
1945-04,19507.72,26791.13
1945-05,13366.81,25146.81
1945-06,24032.09,44297.50
1945-07,10760.49,19113.01
1945-08,53104.25,90862.15
1945-09,14483.52,19985.75
1945-10,19715.99,36682.85
1945-11,30978.30,40370.18
1945-12,46163.98,38404.53
1946-01,42210.86,33955.54
1946-02,25013.92,27983.22
1946-03,19823.10,29587.87
1946-04,10248.74,13368.79
1946-05,11149.25,12400.84
1946-06,8207.72,11732.40
1946-07,12049.76,12787.63
1946-08,13436.23,10419.33
1946-09,13009.78,17922.91
1946-10,14287.15,22076.36
1946-11,14840.55,33410.07
1946-12,11688.77,37825.34
1947-01,22730.91,30853.34
1947-02,20033.35,26856.59
1947-03,41681.27,54078.14
1947-04,13188.29,34689.43
1947-05,60403.53,113579.18
1947-06,282771.72,374782.31
1947-07,83065.02,116284.67
1947-08,15286.83,26156.41
1947-09,16816.11,20283.27
1947-10,32392.54,49813.62
1947-11,24355.40,58051.09
1947-12,28994.80,42502.44
1948-01,38148.66,38624.70
1948-02,47691.27,64939.79
1948-03,81077.55,98123.74
1948-04,54726.75,94751.80
1948-05,59653.76,101773.38
1948-06,48240.70,96251.32
1948-07,9350.22,9094.35
1948-08,10931.07,8390.21
1948-09,10080.15,7791.19
1948-10,14733.44,16990.66
1948-11,9139.97,24821.52
1948-12,15098.40,27068.82
1949-01,26916.10,34290.75
1949-02,19831.03,30032.17
1949-03,12999.86,37166.82
1949-04,19287.55,28512.81
1949-05,19999.63,40475.30
1949-06,453144.47,537357.94
1949-07,34955.22,69741.84
1949-08,12218.36,8279.13
1949-09,13493.75,12327.45
1949-10,14673.93,23722.66
1949-11,21513.04,32805.11
1949-12,13426.31,30658.96
1950-01,15027.00,25579.22
1950-02,14596.58,28598.10
1950-03,18127.21,25392.77
1950-04,11950.59,17020.41
1950-05,11456.70,17764.23
1950-06,14838.56,25880.71
1950-07,9288.73,9455.34
1950-08,8784.92,7025.56
1950-09,7229.86,8628.22
1950-10,5611.32,10516.52
1950-11,8124.42,25000.03
1950-12,7628.54,25200.37
1951-01,12295.72,27164.03
1951-02,10905.28,30280.11
1951-03,12966.14,19892.52
1951-04,11188.92,18133.16
1951-05,10010.72,18583.41
1951-06,23064.14,61853.46
1951-07,12884.82,17419.10
1951-08,53729.05,80153.23
1951-09,17724.56,18198.61
1951-10,13464.00,37938.41
1951-11,10006.76,38112.95
1951-12,16802.23,37708.32
1952-01,25491.94,37775.76
1952-02,27469.49,31720.13
1952-03,21983.13,33318.83
1952-04,30924.75,52235.47
1952-05,74754.15,134614.19
1952-06,69503.82,115205.65
1952-07,14082.85,16002.88
1952-08,17200.91,15134.11
1952-09,11534.05,10397.51
1952-10,9973.04,23647.29
1952-11,8497.31,26327.00
1952-12,11661.00,32541.30
1953-01,14422.03,32414.36
1953-02,12654.73,23988.45
1953-03,17482.57,24510.11
1953-04,17349.67,24182.83
1953-05,8517.15,13329.12
1953-06,16139.74,22986.78
1953-07,10522.47,16232.96
1953-08,14189.96,15326.50
1953-09,10213.04,8536.98
1953-10,8709.55,15243.20
1953-11,8574.67,30014.32
1953-12,9701.30,29673.16
1954-01,11774.06,28661.57
1954-02,9300.63,20144.43
1954-03,12851.10,18936.47
1954-04,9980.97,6589.19
1954-05,6733.98,3883.69
1954-06,6706.21,6490.01
1954-07,7943.92,9754.85
1954-08,9231.21,7388.54
1954-09,8005.41,4575.93
1954-10,8205.74,7935.98
1954-11,8108.55,13688.13
1954-12,8955.50,18035.96
1955-01,17246.53,20418.15
1955-02,13858.71,18168.86
1955-03,11272.23,18999.95
1955-04,10825.94,11125.45
1955-05,9917.50,5649.01
1955-06,11393.22,10800.16
1955-07,10756.52,6154.80
1955-08,11355.54,18853.17
1955-09,12829.28,9159.80
1955-10,11315.87,16320.24
1955-11,9425.59,21852.22
1955-12,9296.66,21132.21
1956-01,11258.35,20443.93
1956-02,9223.28,16500.74
1956-03,10972.72,16490.82
1956-04,8991.21,10653.38
1956-05,13535.40,20832.70
1956-06,13275.57,17198.93
1956-07,13942.02,7832.84
1956-08,14039.21,13261.68
1956-09,9451.38,5432.81
1956-10,9949.24,9175.67
1956-11,16048.50,21554.70
1956-12,10873.55,21840.32
1957-01,11657.03,22711.07
1957-02,9729.07,23210.92
1957-03,10177.34,22600.00
1957-04,14451.78,33753.22
1957-05,240529.13,273219.19
